stratum,domain,target,method,records,DOI_groups,R2,MAE,RMSE,bias,inferential_status
Formula unseen historically,Sn-only,PCE,Domain expert,39,11,0.06538779144287654,2.2789515302247434,2.9602001259897115,-1.1996678161640675,descriptive only
Formula unseen historically,Sn-only,Voc,Domain expert,39,11,-0.18685452247824852,0.12009098716400296,0.14238565913397785,-0.08797405264054982,descriptive only
Formula unseen historically,Sn-only,Jsc,Domain expert,39,11,0.01984334242094299,6.149786280295445,7.5434080971305875,-1.1429930158819266,descriptive only
Formula unseen historically,Sn-only,FF,Domain expert,39,11,0.20820525168706172,10.24461973471035,12.061243837071215,-3.287511893088278,descriptive only
Formula unseen historically,Sn-only,PCE,Convex mixture,39,11,0.2204538637566762,2.0523850348029207,2.703499288102796,-1.1341795564654022,descriptive only
Formula unseen historically,Sn-only,Voc,Convex mixture,39,11,-0.2780021222315867,0.11627662840089963,0.14775197439636006,-0.07117704512748062,descriptive only
Formula unseen historically,Sn-only,Jsc,Convex mixture,39,11,-0.06983334751793135,5.809891228773977,7.880938202865608,-1.1624155977920092,descriptive only
Formula unseen historically,Sn-only,FF,Convex mixture,39,11,0.27093618909168715,9.748934061056497,11.57360243236878,-3.800265726430057,descriptive only
Formula unseen historically,Sn-only,PCE,Development-selected policy,39,11,0.2204538637566762,2.0523850348029207,2.703499288102796,-1.1341795564654022,descriptive only
Formula unseen historically,Sn-only,Voc,Development-selected policy,39,11,-0.2780021222315867,0.11627662840089963,0.14775197439636006,-0.07117704512748062,descriptive only
Formula unseen historically,Sn-only,Jsc,Development-selected policy,39,11,-0.06983334751793135,5.809891228773977,7.880938202865608,-1.1624155977920092,descriptive only
Formula unseen historically,Sn-only,FF,Development-selected policy,39,11,0.27093618909168715,9.748934061056497,11.57360243236878,-3.800265726430057,descriptive only
Formula unseen historically,Mixed Pb-Sn,PCE,Frozen global,34,9,-0.24953494686180955,5.226513502003183,5.847963491279147,-3.42125132630389,descriptive only
Formula unseen historically,Mixed Pb-Sn,Voc,Frozen global,34,9,0.30412939617932344,0.10455401359067512,0.1470947457407153,-0.014964292897966877,descriptive only
Formula unseen historically,Mixed Pb-Sn,Jsc,Frozen global,34,9,-0.0817795336366931,5.645257832270859,7.202142342097985,-3.4477297064662857,descriptive only
Formula unseen historically,Mixed Pb-Sn,FF,Frozen global,34,9,-0.7798373009021835,9.275288011080274,10.60626832695541,-7.660857653301895,descriptive only
Formula unseen historically,Mixed Pb-Sn,PCE,Subgroup calibrator,34,9,-0.24953494686180955,5.226513502003183,5.847963491279147,-3.42125132630389,descriptive only
Formula unseen historically,Mixed Pb-Sn,Voc,Subgroup calibrator,34,9,0.30412939617932344,0.10455401359067512,0.1470947457407153,-0.014964292897966877,descriptive only
Formula unseen historically,Mixed Pb-Sn,Jsc,Subgroup calibrator,34,9,-0.0817795336366931,5.645257832270859,7.202142342097985,-3.4477297064662857,descriptive only
Formula unseen historically,Mixed Pb-Sn,FF,Subgroup calibrator,34,9,-0.7798373009021835,9.275288011080274,10.60626832695541,-7.660857653301895,descriptive only
Formula unseen historically,Mixed Pb-Sn,PCE,Domain expert,34,9,-0.9634278612891247,6.5926896112557065,7.3305730161954195,-5.359967463961312,descriptive only
Formula unseen historically,Mixed Pb-Sn,Voc,Domain expert,34,9,-0.393090071489564,0.14831135614873495,0.20812416722219765,-0.11026084925908063,descriptive only
Formula unseen historically,Mixed Pb-Sn,Jsc,Domain expert,34,9,-0.10026508709572135,5.970232533985576,7.263417136509517,-3.874934232211825,descriptive only
